ppm,score_normal,accuracy,rain_bias,snow_bias,mix_bias
range_twet_0.5_1.5,94.1,76.8,-13.5,6.1,-0.9
range_tair_1.5_2.5,93.3,72.6,12.6,-4.6,-5.1
range_tair_2.5_3,85.9,74.4,-4.6,13.8,-60.6
range_twet_1_1.5,85.4,77.9,-13.5,16.7,-55.6
thresh_twet_1,80.6,78.7,5.9,16.7,-100
thresh_twet_1,80.6,78.7,5.9,16.7,-100
thresh_tair_2.75,80.3,75.2,3.8,17.7,-100
thresh_tair_2.5,79.6,75.2,12.6,13.8,-100
thresh_tair_2.2,78.7,75.1,24.4,8.5,-100
jordan,77.2,67,12.6,-24.6,98.4
binlog,77,76.4,45.7,-0.9,-100
range_tair_-0.5_0.5,74,60.2,99.3,-41.8,-11.5
thresh_tair_0,60.6,63.4,120.9,-34.2,-100
range_tair_-1_3,51.9,55.8,-4.6,-48.1,259.3
